;C1;C2;G1 1;G1 2;MIX Z 1;MIX Z 2;W1 1;W1 2;W1 G1 1;W1 G1 2;W6 1;W6 2; W6 W1 G1 1; W6 W1 G1 2
Ethyl 3-methylbutanoate;0;0;0;0;0;0;0;0;0,87;0;0;0;1,21;1,73
Isoamyl acetate;0;0;0;0;13,27;17,32;18,4;19,57;17,65;19,13;13,12;13,5;55,85;68,22
isoamyl alcool;21,22;17,46;316,99;83,02;1642,48;2181,52;26837,42;28723,25;6610,59;15849,36;4471,49;5068,13;10923,45;12405,49
Ethyl hexanoate;0;0;0;0;1,69;3,2;0,84;1,29;0;0;2,04;2,01;2,58;3,56
ethyl octanoate;2,14;2,1;2,47;2,31;5,32;6,7;2,52;3,2;2,37;2,45;6,83;6,59;6,92;7,91
Benzaldehyde;0,71;0,83;1,26;1,19;0,89;0,71;4,29;4,63;1,48;1,79;0,98;1,06;1,5;1,07
Decanoic acid ethyl ester;0,74;0,92;1,11;1,03;3,44;4,92;0,96;1,2;1,28;1,35;1,88;1,86;5,38;6,07
3-methylbutanoic acid;4,47;2,84;48,3;49,86;799,99;981,85;27,73;29,26;2503,66;1280,41;262,7;282,24;2418,79;2039,45
methionol;0;0;16,99;0;18,29;20,68;355,61;400,39;49,1;106,61;20,99;21,13;50,81;57,1
2-phenethyl acetate;0;0;0;0;13,85;14,49;39,53;43,59;19,42;44,26;13,06;13,01;22,95;25,91
Hexanoic acid;9,59;6,85;14,91;17,39;808,6;891,39;73,4;95,28;43,7;45,08;423,34;403,4;603,18;600,13
Benzyl Alcohol;0,19;0,2;0,15;0,73;0,33;0,3;1,11;0,91;0,11;2,48;0,65;0,88;0,13;6,03
Phenylethyl Alcohol;10,87;10,12;44,23;29,78;392,62;556,65;1242,75;1303,33;591,86;1167,6;466,51;501,26;1074,26;1052,86
Octanoic acid;142,93;123,78;142,27;166,84;3964,84;4029,38;591,08;609,44;439,89;473,36;2941,91;2921,51;3097,38;2947,11
dodecanoic (as octanoic);0;0;106;105;1340;1604;0;0;118;99;139;121;757;728
4-vinylguaiacol;0,05;0,06;0,07;0,09;0,04;0,05;0,06;0,07;0,06;0;0,06;0,05;0,08;0,07
4-ethyl phenol;0;0;3,53;3,59;25,47;26,08;3,65;3,61;3,68;3,6;30,62;30,53;24,47;25,01
Ethyl acetate;0;0;0,01;0,05;12,25;18,38;3,36;3,87;5,4;9,62;5,88;5,44;55,07;47,52
3-carene;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,01;0,04
alpha-terpinen;0;0;0;0;0,03;0;0,02;0,02;0,03;0;0,01;0,01;0,04;0,03
beta-Myrcene;0,45;0,29;1,4;0,91;1,42;1,42;1,88;1,68;2,08;0,82;0,11;0,05;3,34;1,83
4-cineole;0,08;0,08;0,12;0,09;0,09;0,09;0,1;0,11;0,11;0,1;0,11;0,11;0,18;0,1
limonene;0,01;0,01;0,17;0,09;0,14;0,16;0,13;0,1;0,17;0,14;0,03;0,06;0,29;0,17
gamma-terpinen;0,19;0,18;0,23;0,86;0,87;0,37;1,43;1,01;0,24;0,02;0,01;0,65;2,88;1,58
p-cymene;0,01;0,01;0,05;0,04;0,03;0,03;0,03;0,02;0,16;0,03;0,01;0,02;0,07;0,04
Terpinolene;0,01;0,01;0,06;0,06;0,11;0,12;0,05;0,03;0,06;0,05;0,01;0,02;0,16;0,09
cis-Linalooloxide;0,69;0,5;1,45;1,23;2,14;2,8;1,26;1,19;1,35;2;1,94;1,39;3,76;2,4
Linalool;1,59;1,69;4,35;3,47;8,93;7,13;7,98;8,36;8,55;3,06;4,16;4,11;14,25;8,29
Ho-trienol;0;0,01;0;0,02;0,03;1,32;0,02;0,02;0,04;0,03;0,01;0,01;0,05;0,02
alpha-Terpineol;0,14;0,13;1,78;1,92;2,64;2,52;1,23;1,02;1,3;2,33;0,3;0,36;3,48;2,07
beta citronellol;0,29;0;0;0;2,55;2,09;0,59;0,35;0,27;0,09;2,06;1,51;1,11;0,67
methyl salycilate;0,17;0,17;0,28;0,27;0,47;0,43;0,29;0,37;0,34;0,21;1,1;1,11;0,86;0,51
beta-damascenone;0,11;0,12;0,34;0,34;0,18;0,11;0,32;0,31;0,34;0,32;0,19;0,21;0,28;0,2
Geraniol;1,07;0,98;0,93;1,15;1,6;1,12;1,52;1,04;1,16;0,66;1,66;1,66;2,05;1,22
DMS;0;0;3;1,13;2,38;1,09;11,1;10,35;1,21;6,52;1,25;1,23;0,84;1,1
